id,material,number_of_wire,gasket_type,cross_section,current_strength
202,aluminum,four or five,ground,10,55
203,aluminum,four or five,ground,16,72
204,aluminum,four or five,ground,25,95
205,aluminum,four or five,ground,35,114
206,aluminum,four or five,ground,50,133
207,aluminum,four or five,ground,70,166
208,aluminum,four or five,ground,95,199
209,aluminum,four or five,ground,120,227
210,aluminum,four or five,ground,150,255
211,aluminum,four or five,ground,185,290
212,aluminum,four or five,ground,240,338
213,aluminum,four or five,ground,300,388
214,aluminum,four or five,ground,400,448
