id,section,Amp
1,2.5,22
2,4,30
3,6,37
4,10,50
5,16,68
6,25,92
7,35,113
8,50,139
9,70,176
10,95,217
11,120,253
12,150,290
13,185,336
14,240,401
15,300,464
16,400,544
17,500,636
18,625,744
19,800,858
20,1000,972
