id,section,Amp
1,1.5,22
2,2.5,30
3,4,39
4,6,50
5,10,68
6,16,89
7,25,121
8,35,147
9,50,179
10,70,226
11,95,280
12,120,326
13,150,373
14,185,431
15,240,512
16,300,591
17,400,685
18,500,792
19,625,910
20,800,1030
21,1000,1143
