id,section,Amp
1,2.5,20
2,4,27
3,6,34
4,10,47
5,16,62
6,25,81
7,35,99
8,50,117
9,70,150
10,95,183
11,120,213
12,150,243
13,185,281
14,240,334
15,300,394
16,400,466
